"concept_id","person_id_count","record_count","concept_name"
4003171,2695,3930,"Benign neoplasm of meninges"
438997,193,301,"Neoplasm of uncertain behavior of meninges"
4003830,2081,2656,"Diffuse non-Hodgkin's lymphoma"
4002356,2211,2921,"Diffuse non-Hodgkin's lymphoma, small cell (clinical)"
4003833,1890,2784,"Follicular non-Hodgkin's lymphoma, large cell (clinical)"
4002494,249,344,"Histiocytic sarcoma (clinical)"
4002340,342,395,"Primary malignant neoplasm of meninges"
4002349,316,400,"Benign neoplasm of peripheral nerves of lower limb"
438095,12,18,"Overlapping malignant neoplasm of eye and adnexa (primary)"
133710,19,30,"Overlapping malignant neoplasm of lip"
4001170,20,30,"Overlapping malignant neoplasm of palate"
444224,322,513,"Overlapping malignant neoplasm of lip, oral cavity and pharynx"
197803,699,1266,"Overlapping malignant neoplasm of stomach"
199747,118,188,"Overlapping malignant neoplasm of small intestine"
4003021,44,71,"Angiosarcoma of liver"
198695,260,430,"Overlapping malignant neoplasm of biliary tract"
4003029,286,487,"Overlapping malignant neoplasm of vulva"
4002346,20,27,"Benign neoplasm of peripheral nerves of upper limb"
4002351,9,11,"Benign neoplasm of peripheral nerves of thorax"
4001328,501,683,"Diffuse non-Hodgkin's lymphoma, lymphoblastic (clinical)"
4002357,3207,4536,"Follicular non-Hodgkin's lymphoma, small cleaved cell (clinical)"
140955,221,361,"Overlapping malignant neoplasm of floor of mouth"
4001664,3801,6822,"Intrahepatic bile duct carcinoma"
196645,14,22,"Overlapping malignant neoplasm of male genital organs"
196051,159,258,"Overlapping malignant neoplasm of female genital organs"
4003177,10,15,"Benign neoplasm of peripheral nerves of abdomen"
438111,683,729,"Hematologic neoplasm of uncertain behavior"
4003834,300,392,"Malignant immunoproliferative disease (clinical)"
438383,10669,14020,"Essential thrombocythemia"
138994,20789,27672,"Myelodysplastic syndrome (clinical)"
4003674,12,15,"Primary malignant neoplasm of branchial cleft"
438090,919,1491,"Overlapping malignant neoplasm of rectum, anus and anal canal"
4003675,28,50,"Primary malignant neoplasm of cloacogenic zone"
192261,884,1505,"Overlapping malignant neoplasm of pancreas"
198092,175,275,"Overlapping malignant neoplasm of retroperitoneum and peritoneum"
133711,23226,46133,"Overlapping malignant neoplasm of female breast"
434592,5093,6706,"B-cell lymphoma (clinical)"
437233,36419,48889,"Multiple myeloma"
4002497,485,628,"Acute promyelocytic leukemia, FAB M3"
438691,412,729,"Overlapping malignant neoplasm of oropharynx"
4001171,8896,15387,"Liver cell carcinoma"
4001665,4,5,"Benign neoplasm of mesothelial tissue of peritoneum"
4001670,2411,3163,"Intraductal carcinoma in situ of breast"
4002341,12,17,"Neoplasm of uncertain behavior of peripheral nerves and peripheral autonomic nervous system"
4003179,7,10,"Primary malignant neoplasm of peripheral nerves of trunk"
4001329,2558,3480,"Follicular non-Hodgkin's lymphoma, mixed small cleaved cell and large cell (clinical)"
444219,395,519,"Osteitis deformans without bone tumor"
45757298,66,92,"Pathologic fracture of pelvis at site of neoplasm"
607994,37,42,"Dendritic cell sarcoma"
36684461,156,167,"Marginal zone lymphoma of spleen"
4038839,774,1025,"Hodgkin lymphoma, nodular lymphocyte predominance (clinical)"
432571,22902,33071,"Malignant lymphoma"
4038845,1366,1940,"Hairy cell leukemia (clinical)"
4038838,19772,26980,"Non-Hodgkin's lymphoma (clinical)"
4038841,304,413,"Lymphocyte-rich classical Hodgkin lymphoma"
4038843,214,287,"Hodgkin's disease, mixed cellularity (clinical)"
4041800,603,903,"Burkitt's lymphoma (clinical)"
4040380,855,1076,"Mycosis fungoides (clinical)"
4041797,59,62,"Hodgkin's granuloma (clinical)"
4041798,36,42,"Hodgkin's disease, lymphocytic depletion (clinical)"
4038835,6536,9351,"Hodgkin's disease (clinical)"
4038842,1313,1728,"Hodgkin's disease, nodular sclerosis (clinical)"
4038846,69,82,"Langerhans cell histiocytosis, disseminated (clinical)"
4040379,311,345,"Malignant mast cell tumor (clinical)"
4038840,8,9,"Hodgkin's sarcoma (clinical)"
36712834,119,156,"Acute lymphoid leukemia relapse"
760932,21,23,"Chronic monocytic leukemia in relapse"
760934,161,240,"Lymphoid leukemia in relapse"
760936,35,48,"Plasma cell leukemia in relapse"
760933,22,23,"Myeloid leukemia in relapse"
81251,417,487,"Neoplasm of breast"
4131304,4167,6498,"Neoplasm of intrathoracic lymph nodes"
196931,2111,2620,"Neoplasm of digestive tract"
4029188,269,331,"Primary cutaneous CD30+ large T-cell lymphoma"
36684472,566,737,"Primary malignant neoplasm of abdomen"
37018672,2088,3014,"Malignant poorly differentiated neuroendocrine carcinoma"
200680,2205,2729,"Neoplasm of bladder"
4131761,98,148,"Neoplasm of placenta"
4131938,1147,1726,"Neoplasm of lymph node of lower limb"
4131428,1667,2742,"Neoplasm of intrapelvic lymph node"
4133007,5082,6735,"Neoplasm of lymph nodes of multiple sites"
379802,22,25,"Neuroleptic malignant syndrome"
79768,167,168,"Neoplasm of urinary system"
37016171,244,423,"Merkel cell carcinoma of lower limb"
252280,705,848,"Neoplasm of respiratory tract"
37018875,5598,9199,"Malignant neuroendocrine tumor"
4130672,6,9,"Neoplasm of multiple endocrine glands"
4133600,14,15,"Neoplasm of spleen"
4028253,4750,7282,"Neoplasm of digestive system"
444203,60,78,"Primary malignant neoplasm of articular cartilage"
4044708,442,616,"Langerhans cell histiocytosis, unifocal (clinical)"
37016170,349,580,"Merkel cell carcinoma of upper limb"
4054513,272,471,"Neoplasm of accessory sinus"
373724,2349,3309,"Neoplasm of brain"
4131422,6216,10294,"Neoplasm of intra-abdominal lymph nodes"
4130842,6444,11081,"Neoplasm of lymph nodes of upper limb"
4133599,1378,1790,"Chronic myelomonocytic leukemia"
4130839,9892,14990,"Neoplasm of lymph node"
432851,16205,24195,"Secondary malignant neoplastic disease"
318437,285,334,"Malignant secondary hypertension"
138708,1579,2158,"Acute leukemia"
141816,2733,4113,"Acute lymphoid leukemia in remission"
135762,1491,1755,"Acute myeloid leukemia in remission"
140352,10665,15468,"Acute myeloid leukemia, disease"
135496,2612,3756,"Acute leukemia in remission"
134305,4015,6072,"Acute lymphoid leukemia"
140672,27,28,"Acute monocytic leukemia in remission"
77234,35572,49340,"Benign neoplasm of colon"
4241026,145,184,"Benign neoplasm of craniopharyngeal duct"
436062,303,430,"Benign neoplasm of duodenum"
442099,46,60,"Benign neoplasm of large intestine"
373432,22,26,"Benign neoplasm of nervous system"
4242816,1842,2580,"Benign neoplasm of pituitary gland"
444457,509,624,"Benign neoplasm of rectum"
4242957,379,492,"Benign neoplasm of skin of eyelid"
78110,291,410,"Carcinoma in situ of anus"
4243120,102,127,"Carcinoma in situ of endocervix"
373732,19,26,"Carcinoma in situ of eye"
196068,13,15,"Carcinoma in situ of male genital organ"
4243266,104,151,"Carcinoma in situ of mouth"
193162,79,106,"Carcinoma in situ of penis"
439772,8,8,"Carcinoma in situ of trachea"
438386,1219,1699,"Carcinoma in situ of vulva"
134597,149,190,"Chronic leukemia in remission"
132572,2495,2956,"Chronic myeloid leukemia in remission"
134603,8480,10719,"Chronic myeloid leukemia"
442111,1661,2001,"Benign neoplasm of ascending colon"
4239871,3,3,"Benign neoplasm of central nervous system"
4243445,344,453,"Benign neoplasm of pancreas"
444463,21,25,"Benign neoplasm of paraganglion"
141248,244,294,"Benign neoplasm of skin of lip"
444449,156,178,"Benign neoplasm of soft tissues of upper limb"
4242974,30,38,"Benign neoplasm of retroperitoneum"
439763,15,19,"Benign neoplasm of trachea"
195500,74,84,"Benign neoplasm of uterus"
201244,49,52,"Benign neoplasm of vagina"
436671,120,141,"Carcinoma in situ of anal canal"
192855,1163,1536,"Cancer in situ of urinary bladder"
194611,2208,2970,"Carcinoma in situ of uterine cervix"
28109,55,71,"Carcinoma in situ of esophagus"
192291,25,27,"Carcinoma in situ of intestinal tract"
24897,173,242,"Carcinoma in situ of larynx"
200974,44,51,"Carcinoma in situ of stomach"
140057,843,1014,"Chronic leukemia"
4239873,77,122,"Benign neoplasm of ciliary body"
373982,34,43,"Benign neoplasm of conjunctiva"
136937,17,23,"Benign neoplasm of endocrine gland"
381252,110,147,"Benign neoplasm of eye"
442098,48,60,"Benign neoplasm of ileum"
4242348,9,11,"Benign neoplasm of intrathoracic organs"
74322,61,72,"Benign neoplasm of scrotum"
433981,55,58,"Benign neoplasm of short bone of upper limb"
201256,357,480,"Benign neoplasm of soft tissues of abdomen"
4243593,53,57,"Benign neoplasm of spermatic cord"
436366,165,206,"Benign neoplasm of testis"
435758,92,106,"Burkitt's tumor of extranodal AND/OR solid organ site"
81247,133,166,"Carcinoma in situ of urinary system"
436936,1060,1728,"Benign neoplasm of cranial nerve"
433978,11,13,"Benign neoplasm of hypopharynx"
23731,165,235,"Benign neoplasm of larynx"
135208,59,69,"Benign neoplasm of lip"
4243427,195,253,"Benign neoplasm of liver"
438105,30,36,"Benign neoplasm of mediastinum"
28115,27,34,"Benign neoplasm of pineal gland"
4243575,129,134,"Benign neoplasm of rectosigmoid junction"
138102,23053,32681,"Benign neoplasm of skin"
4242962,411,514,"Benign neoplasm of small intestine"
194607,45,50,"Benign neoplasm of soft tissues of pelvis"
444444,1307,1492,"Benign neoplasm of transverse colon"
438390,139,146,"Benign neoplasm of vulva"
4244639,27,34,"Carcinoma in situ of pharynx"
444410,1557,2777,"Carcinoma in situ of skin of ear"
133725,251,329,"Carcinoma in situ of skin of lip"
195513,224,287,"Carcinoma in situ of vagina"
138379,18568,21331,"Chronic lymphoid leukemia, disease"
74606,306,421,"Benign neoplasm of bone"
379769,742,1045,"Benign neoplasm of brain"
132573,9,9,"Benign neoplasm of floor of mouth"
4239897,114,128,"Benign neoplasm of intra-abdominal organs"
30679,579,742,"Benign neoplasm of major salivary gland"
433987,58,90,"Benign neoplasm of orbit"
435205,37,43,"Benign neoplasm of oropharynx"
26060,86,118,"Benign neoplasm of tonsil"
134304,882,1221,"Benign neoplasm of parathyroid gland"
4242814,297,370,"Benign neoplasm of parotid gland"
77819,21,23,"Benign neoplasm of pleura"
440668,155,190,"Benign neoplasm of tongue"
433426,14,15,"Burkitt's tumor of lymph nodes of axilla AND/OR upper limb"
4241769,5,5,"Carcinoma in situ of buccal mucosa"
75512,423,526,"Carcinoma in situ of colon"
4241777,53,63,"Carcinoma in situ of endometrium"
4241778,16,20,"Carcinoma in situ of floor of mouth"
4241909,5,6,"Carcinoma in situ of soft palate"
192581,36,37,"Carcinoma in situ of uterus"
193439,74,77,"Benign neoplasm of body of uterus"
196364,52,55,"Benign neoplasm of uterine cervix"
436948,1102,1831,"Benign neoplasm of choroid"
373160,13,18,"Benign neoplasm of cornea"
201817,33,36,"Benign neoplasm of female genital organ"
317814,196,300,"Benign neoplasm of heart"
444459,1249,1418,"Benign neoplasm of sigmoid colon"
140966,11386,16957,"Benign neoplasm of skin of face"
444445,1551,1873,"Benign neoplasm of skin of lower limb"
200060,103,114,"Benign neoplasm of soft tissues of trunk"
138117,161,244,"Benign neoplasm of spinal cord"
438107,254,339,"Benign neoplasm of thymus"
198103,9,10,"Benign neoplasm of ureter"
437504,161,202,"Burkitt's tumor of lymph nodes of head, face AND/OR neck"
4243874,49,63,"Carcinoma in situ of exocervix"
4241786,1,2,"Carcinoma in situ of hard palate"
4241890,7,11,"Carcinoma in situ of rectosigmoid junction"
138996,2139,2703,"Carcinoma in situ of skin"
4241917,32,44,"Carcinoma in situ of thyroid gland"
4241919,135,198,"Carcinoma in situ of tongue"
376063,2856,4574,"Benign neoplasm of cerebral meninges"
442105,2166,2883,"Benign neoplasm of soft tissue"
73723,10,11,"Benign neoplasm of epididymis"
195498,595,761,"Benign neoplasm of kidney"
134604,9,15,"Benign neoplasm of lacrimal gland"
315505,282,319,"Benign neoplasm of lymph node"
373166,92,139,"Benign neoplasm of mandible"
30356,22,25,"Benign neoplasm of pharynx"
197237,399,487,"Benign neoplasm of prostate"
200671,40,47,"Benign neoplasm of renal pelvis"
372272,8,10,"Benign neoplasm of retina"
4242514,470,609,"Benign neoplasm of skin of ear"
136057,6887,9734,"Benign neoplasm of skin of trunk"
4243587,1333,1569,"Benign neoplasm of skin of upper limb"
444453,249,299,"Benign neoplasm of soft tissues of lower limb"
135767,158,229,"Benign neoplasm of spinal meninges"
196061,2098,2538,"Benign neoplasm of stomach"
141249,1258,1560,"Benign neoplasm of thyroid gland"
78706,19,25,"Benign neoplasm of urinary system"
192577,215,304,"Carcinoma in situ of female genital organ"
200970,920,1245,"Carcinoma in situ of prostate"
75210,194,241,"Carcinoma in situ of rectum"
133726,5198,8836,"Carcinoma in situ of skin of face"
192273,1724,2435,"Benign neoplasm of adrenal gland"
4240913,79,89,"Benign neoplasm of anus"
4239729,150,188,"Benign neoplasm of appendix"
201824,292,351,"Benign neoplasm of bladder"
442108,758,846,"Benign neoplasm of cecum"
24884,40,60,"Benign neoplasm of carotid body"
442104,810,941,"Benign neoplasm of descending colon"
24602,83,95,"Benign neoplasm of esophagus"
4241648,179,264,"Benign neoplasm of extrahepatic bile ducts"
442100,2,2,"Benign neoplasm of jejunum"
200670,16,18,"Benign neoplasm of male genital organ"
199764,1493,1689,"Benign neoplasm of ovary"
201823,24,29,"Benign neoplasm of penis"
444450,53,57,"Benign neoplasm of soft tissues of thorax"
40651279,26,32,"Benign neoplasm of vertebral column"
196377,27,31,"Benign neoplasm of urethra"
261528,15,17,"Carcinoma in situ of respiratory tract"
4245568,6,7,"Carcinoma in situ of scrotum"
134308,1534,2315,"Carcinoma in situ of skin of lower limb"
444411,2067,2681,"Carcinoma in situ of skin of trunk"
4241908,3191,5496,"Carcinoma in situ of skin of upper limb"
133438,3596,4280,"Chronic lymphoid leukemia in remission"
195195,972,1166,"Malignant lymphoma of intrapelvic lymph nodes"
198705,3,3,"Malignant mast cell tumor of lymph nodes of inguinal region AND/OR lower limb"
433161,32,36,"Hodgkin's disease, lymphocytic depletion of lymph nodes of head, face AND/OR neck"
442150,5,5,"Hodgkin's disease, lymphocytic depletion of lymph nodes of inguinal region AND/OR lower limb"
438703,167,213,"Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of axilla AND/OR upper limb"
438373,50,64,"Hodgkin's disease, lymphocytic-histiocytic predominance of extranodal AND/OR solid organ site"
435203,36,42,"Hodgkin's disease, mixed cellularity of extranodal AND/OR solid organ site"
434302,210,231,"Hodgkin's disease, nodular sclerosis of extranodal AND/OR solid organ site"
440965,1119,1374,"Hodgkin's disease of intrathoracic lymph nodes"
316356,2044,2660,"Hodgkin's disease of lymph nodes of multiple sites"
436651,352,417,"Hodgkin's disease of extranodal AND/OR solid organ site"
442155,7,7,"Hodgkin's granuloma of lymph nodes of axilla AND/OR upper limb"
442153,4,4,"Hodgkin's granuloma of lymph nodes of inguinal region AND/OR lower limb"
442146,6,7,"Hodgkin's sarcoma of lymph nodes of head, face AND/OR neck"
140048,128,185,"Malignant melanoma of skin of lip"
438982,509,829,"Primary malignant neoplasm of anterior portion of floor of mouth"
256633,6650,12026,"Primary malignant neoplasm of base of tongue"
375490,41,58,"Primary malignant neoplasm of cornea of eye"
434587,436,716,"Primary malignant neoplasm of dorsal surface of tongue"
435751,1110,1751,"Primary malignant neoplasm of fundus of stomach"
132832,24,36,"Primary malignant neoplasm of inner aspect of lip"
440036,16,26,"Primary malignant neoplasm of junctional zone of tongue"
4246125,1773,2464,"Primary malignant neoplasm of large intestine"
440344,282,452,"Primary malignant neoplasm of lateral portion of floor of mouth"
317510,2348,2821,"Leukemia"
193721,2,3,"Malignant histiocytosis of spleen"
438698,10385,13350,"Malignant lymphoma of lymph nodes of head, face AND/OR neck"
434877,537,657,"Hodgkin's disease of lymph nodes of axilla AND/OR upper limb"
436652,486,588,"Hodgkin's disease of lymph nodes of inguinal region AND/OR lower limb"
198704,70,92,"Hodgkin's disease of spleen"
320049,3,3,"Hodgkin's sarcoma of lymph nodes of axilla AND/OR upper limb"
4244488,377,618,"Malignant melanoma of skin of nose"
259748,308,435,"Primary malignant neoplasm of accessory sinus"
79749,114,179,"Primary malignant neoplasm of body of penis"
4246802,686,900,"Primary malignant neoplasm of bone of skull"
433975,369,444,"Primary malignant neoplasm of cranial nerve"
441805,4798,8015,"Primary malignant neoplasm of endocervix"
436358,1966,3720,"Primary malignant neoplasm of exocervix"
201238,796,1325,"Primary malignant neoplasm of female genital organ"
316644,69,83,"Primary malignant neoplasm of heart"
197804,720,970,"Primary malignant neoplasm of intra-abdominal organs"
198985,46734,98589,"Primary malignant neoplasm of kidney"
441525,17,17,"Malignant histiocytosis of lymph nodes of head, face AND/OR neck"
200349,8920,11405,"Malignant lymphoma of intra-abdominal lymph nodes"
192560,3353,4316,"Malignant lymphoma of lymph nodes of inguinal region AND/OR lower limb"
132841,12512,16018,"Malignant lymphoma of lymph nodes of multiple sites"
4245916,9,10,"Malignant mast cell tumor of intra-abdominal lymph nodes"
138099,100,123,"Erythroleukemia, FAB M6"
442151,5,5,"Hodgkin's disease, lymphocytic depletion of lymph nodes of axilla AND/OR upper limb"
201242,155,195,"Hodgkin's disease, lymphocytic-histiocytic predominance of intra-abdominal lymph nodes"
442161,282,347,"Hodgkin's disease, mixed cellularity of lymph nodes of head, face AND/OR neck"
193157,28,35,"Hodgkin's disease, nodular sclerosis of spleen"
442152,24,27,"Hodgkin's paragranuloma of lymph nodes of axilla AND/OR upper limb"
195196,1,1,"Hodgkin's sarcoma of intrapelvic lymph nodes"
139757,3207,5155,"Malignant melanoma of skin of lower limb"
438080,98,160,"Primary malignant neoplasm of anterior wall of nasopharynx"
80045,5311,9564,"Primary malignant neoplasm of anus"
434293,5720,10415,"Primary malignant neoplasm of body of pancreas"
432264,32,49,"Primary malignant neoplasm of broad ligament"
439746,1331,2379,"Primary malignant neoplasm of hypopharynx"
436913,747,1227,"Primary malignant neoplasm of jejunum"
440345,351,612,"Primary malignant neoplasm of lateral wall of oropharynx"
135766,406,499,"Leukemia in remission"
441521,3112,3991,"Malignant lymphoma of lymph nodes of axilla AND/OR upper limb"
435495,3,3,"Malignant mast cell tumor of lymph nodes of head, face AND/OR neck"
4244051,358,616,"Malignant melanoma of skin of breast"
440351,203,267,"Hodgkin's disease, lymphocytic-histiocytic predominance of intrathoracic lymph nodes"
442163,482,613,"Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of head, face AND/OR neck"
198381,21,29,"Hodgkin's disease, lymphocytic-histiocytic predominance of spleen"
196355,1,2,"Hodgkin's granuloma of spleen"
433156,7,8,"Hodgkin's sarcoma of intrathoracic lymph nodes"
438983,4022,6512,"Malignant melanoma of skin of upper limb"
27235,68,90,"Primary malignant neoplasm of carotid body"
442134,31,36,"Primary malignant neoplasm of craniopharyngeal duct"
435752,2401,4307,"Primary malignant neoplasm of duodenum"
442132,186,269,"Primary malignant neoplasm of face"
132258,59,87,"Primary malignant neoplasm of frontal sinus"
434577,214,361,"Primary malignant neoplasm of hypopharyngeal aspect of aryepiglottic fold"
137219,253,348,"Primary malignant neoplasm of inner aspect of lower lip"
192847,159,241,"Primary malignant neoplasm of isthmus of uterus"
438692,226,405,"Primary malignant neoplasm of lateral wall of nasopharynx"
134596,269,351,"Lymphoid leukemia in remission"
321815,10,10,"Malignant histiocytosis of lymph nodes of multiple sites"
435753,3405,4304,"Malignant lymphoma of intrathoracic lymph nodes"
200343,1754,2317,"Malignant lymphoma of spleen"
440058,5793,7195,"Malignant lymphoma of extranodal AND/OR solid organ site"
441245,1,1,"Malignant mast cell tumor of lymph nodes of axilla AND/OR upper limb"
133713,5482,10416,"Malignant melanoma of skin of face"
434299,64,82,"Hodgkin's disease, mixed cellularity of lymph nodes of axilla AND/OR upper limb"
314600,248,287,"Hodgkin's disease, nodular sclerosis of lymph nodes of axilla AND/OR upper limb"
442157,131,149,"Hodgkin's disease, nodular sclerosis of lymph nodes of inguinal region AND/OR lower limb"
200355,1115,1378,"Hodgkin's disease of intra-abdominal lymph nodes"
195761,216,259,"Hodgkin's disease of intrapelvic lymph nodes"
435494,103,121,"Hodgkin's paragranuloma of lymph nodes of head, face AND/OR neck"
442145,2,2,"Hodgkin's sarcoma of lymph nodes of inguinal region AND/OR lower limb"
432844,251,291,"Primary malignant neoplasm of anterior mediastinum"
40649300,708,1145,"Primary malignant neoplasm of anterior wall of urinary bladder"
196360,40676,78578,"Primary malignant neoplasm of bladder"
433149,1274,1638,"Primary malignant neoplasm of cerebellum"
436926,5404,5656,"Primary malignant neoplasm of cerebral meninges"
380661,786,851,"Primary malignant neoplasm of cerebrum"
441800,7285,12989,"Primary malignant neoplasm of descending colon"
4247238,18431,35390,"Primary malignant neoplasm of endometrium"
135750,1320,2273,"Primary malignant neoplasm of floor of mouth"
438979,4269,7309,"Primary malignant neoplasm of hepatic flexure of colon"
437501,503,834,"Primary malignant neoplasm of labia majora"
4246127,4740,6877,"Malignant neoplasm of liver"
4245460,65,69,"Hairy cell leukemia of spleen"
442158,1410,1701,"Hodgkin's disease, nodular sclerosis of lymph nodes of head, face AND/OR neck"
437818,2170,2705,"Hodgkin's disease of lymph nodes of head, face AND/OR neck"
133714,4959,7732,"Malignant melanoma of skin of trunk"
436348,5637,9834,"Primary malignant neoplasm of anal canal"
433143,3988,7095,"Primary malignant neoplasm of appendix"
76914,1995,2678,"Primary malignant neoplasm of bone"
4246808,105,164,"Primary malignant neoplasm of ciliary body (primary)"
80340,24,32,"Primary malignant neoplasm of epididymis"
441233,5272,6173,"Primary malignant neoplasm of frontal lobe"
260336,4892,8075,"Primary malignant neoplasm of glottis"
441802,222,336,"Primary malignant neoplasm of labia minora"
197232,8,8,"Malignant histiocytosis of lymph nodes of inguinal region AND/OR lower limb"
434590,334,550,"Malignant melanoma of skin of eyelid"
440354,10,11,"Hodgkin's granuloma of intrathoracic lymph nodes"
442144,15,17,"Hodgkin's paragranuloma of lymph nodes of inguinal region AND/OR lower limb"
198372,7,7,"Hodgkin's sarcoma of intra-abdominal lymph nodes"
436643,302,481,"Primary malignant neoplasm of anterior aspect of epiglottis"
4247719,24240,44853,"Primary malignant neoplasm of ascending colon"
193422,2448,4048,"Primary malignant neoplasm of body of stomach"
441806,958,1165,"Primary malignant neoplasm of brain stem"
432838,5477,9168,"Primary malignant neoplasm of cardia of stomach"
432845,30964,60906,"Primary malignant neoplasm of central portion of female breast"
197500,51817,92951,"Primary malignant neoplasm of colon"
437224,644,1023,"Primary malignant neoplasm of greater curvature of stomach"
4311480,1542,2591,"Primary malignant neoplasm of ileum"
138351,44,58,"Primary malignant neoplasm of inner aspect of upper lip"
436640,1321,1910,"Primary malignant neoplasm of long bone of lower limb"
198098,2,2,"Malignant histiocytosis of intra-abdominal lymph nodes"
441812,5,5,"Malignant histiocytosis of intrathoracic lymph nodes"
435200,2,2,"Malignant histiocytosis of lymph nodes of axilla AND/OR upper limb"
436929,128,141,"Malignant histiocytosis of extranodal AND/OR solid organ site"
432267,10,12,"Hodgkin's disease, lymphocytic depletion of extranodal AND/OR solid organ site"
194876,36,43,"Hodgkin's disease, lymphocytic-histiocytic predominance of intrapelvic lymph nodes"
442162,103,134,"Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of inguinal region AND/OR lower limb"
442160,44,56,"Hodgkin's disease, mixed cellularity of lymph nodes of inguinal region AND/OR lower limb"
442159,3,3,"Hodgkin's disease, mixed cellularity of spleen"
442154,15,16,"Hodgkin's granuloma of lymph nodes of head, face AND/OR neck"
141232,23549,40979,"Malignant melanoma of skin"
198104,1573,2658,"Primary malignant neoplasm of adrenal gland"
380055,13571,18353,"Primary malignant neoplasm of brain"
4246029,22,24,"Primary malignant neoplasm of cauda equina"
4247822,445,621,"Primary malignant neoplasm of central nervous system"
432848,366,422,"Primary malignant neoplasm of cerebral ventricle"
378696,485,848,"Primary malignant neoplasm of choroid"
373151,120,184,"Primary malignant neoplasm of conjunctiva of eye"
140046,248,407,"Primary malignant neoplasm of ethmoidal sinus"
137809,207850,457457,"Primary malignant neoplasm of female breast"
442131,1246,2054,"Primary malignant neoplasm of head"
25486,808,1294,"Primary malignant neoplasm of islets of Langerhans"
40650072,4186,6835,"Primary malignant neoplasm of lateral wall of urinary bladder"
434292,871,1391,"Primary malignant neoplasm of lesser curvature of stomach"
